workout_id;exercise_number;exercise_name;equipment;reps_goal;set_number;weigth;quantity;measure;comments
202408021518;4;Hip Abduction;Cable;10 reps;2;17;12;reps;[]
202408021518;4;Hip Abduction;Cable;10 reps;3;17;12;reps;[]
202408021518;5;Leg Extensions;Machine;10 reps;1;75;10;reps;[]
202408021518;5;Leg Extensions;Machine;10 reps;2;75;10;reps;[]
202408021518;5;Leg Extensions;Machine;10 reps;3;75;10;reps;[]
202408021518;6;Seated Leg Curls;Machine;10 reps;1;67;10;reps;[]
202408021518;6;Seated Leg Curls;Machine;10 reps;2;67;10;reps;[]
202408021518;6;Seated Leg Curls;Machine;10 reps;3;67;12;reps;[]
202407311649;1;Flexão Arqueiro - Chão;Bodyweight;10 reps;1;;6;reps;"""Na última eu usei os pesos em vez de apoiar no chão. Parece que dei um mau jeito na coluna, tô com um pouco de dor. Pegar leve hj"""
202407311649;1;Flexão Arqueiro - Chão;Bodyweight;10 reps;2;;4;reps;"""Na última eu usei os pesos em vez de apoiar no chão. Parece que dei um mau jeito na coluna, tô com um pouco de dor. Pegar leve hj"""
202407311649;1;Flexão Arqueiro - Chão;Bodyweight;10 reps;3;;3;reps;"""Na última eu usei os pesos em vez de apoiar no chão. Parece que dei um mau jeito na coluna, tô com um pouco de dor. Pegar leve hj"""
202407291540;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;1;+0;6;reps;"""Me sentindo super fraco hj sei lá. Meio abaixando a pressão"""
202407291540;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;2;+0;3;reps;"""Me sentindo super fraco hj sei lá. Meio abaixando a pressão"""
202407291540;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;3;+0;2;reps;"""Me sentindo super fraco hj sei lá. Meio abaixando a pressão"""
202407291540;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;1;+0;12;reps;[]
202407291540;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;2;+0;7;reps;[]
202407291540;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;3;+0;7;reps;[]
202407291540;3;Rows with Wide Neutral Grip;Cable;10 reps;1;50;12;reps;[]
202407291540;3;Rows with Wide Neutral Grip;Cable;10 reps;2;50;5;reps;[]
202407291540;4;Curls;Barbell;10 reps;1;22;10;reps;[]
202407291540;4;Curls;Barbell;10 reps;2;22;6;reps;[]
202407261935;1;Hip Abduction;Cable;8 reps;1;17;10;reps;"""Tive que trocar a ordem e começar por ele, por isso mais fácil talvez"""
202407261935;1;Hip Abduction;Cable;8 reps;2;17;10;reps;"""Tive que trocar a ordem e começar por ele, por isso mais fácil talvez"""
202407261935;1;Hip Abduction;Cable;8 reps;3;17;10;reps;"""Tive que trocar a ordem e começar por ele, por isso mais fácil talvez"""
202407261935;2;Seated Calf Raises;Machine;8 reps;1;60;10;reps;[]
202407261935;2;Seated Calf Raises;Machine;8 reps;2;60;10;reps;[]
202407261935;2;Seated Calf Raises;Machine;8 reps;3;60;10;reps;[]
202407261935;3;Leg Press;Machine;8 reps;1;120;10;reps;"""Na outra máquina"""
202407261935;3;Leg Press;Machine;8 reps;2;120;10;reps;"""Na outra máquina"""
202407261935;3;Leg Press;Machine;8 reps;3;120;10;reps;"""Na outra máquina"""
202407261935;4;Leg Curls on Leg Extension Machine;Machine;10 reps;1;25;10;reps;[]
