
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"PerGlu · Day 3 · Week 1 · Jampa · Deload";"2024-09-20 18:02 h";"1:01 hr"
"1. Leg Press · Machine · 12 reps";"Academia G1 Jampa. Leg 45"
#;KG;REPS
1;180;12
2;190;12
3;190;14
"2. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;50;12
2;55;12
3;55;15
"3. Seated Calf Raises · Machine · 12 reps"
#;KG;REPS
1;50;12
2;53;12
3;56;11
"4. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;50;12
2;60;12
3;65;12
4;70;10
"5. Lying Leg Curls · Machine · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;8

"PeiTriOm · Day 2 · Week 1 · Jampa · Deload";"2024-09-18 16:00 h";"53 min"
"1. Chest Press · Machine · 12 reps";"Academia G1 Jampa";"Aqui anotei os pesos pela metade do que tava na máquina pra não bagunçar minhas métricas"
#;KG;REPS
1;20;15
2;22,5;15
3;25;15
"2. Incline Bench Press · Dumbbells · 10 reps"
#;KG;REPS
1;16;12
2;16;10
3;16;8
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;14;15
2;16;12
3;16;12
"4. Seated Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;10;8
2;10;8
3;9;15
"5. Seated Shoulder Press · Dumbbells · 12 reps";"Melhor pegar menos peso e aumentar as reps"
#;KG;REPS
1;9;8
2;9;8
3;9;6
"6. Pseudo Push-Ups · Bodyweight · 12 reps";"Mãos na altura da base da costela +-"
#;REPS
1;7
2;7
3;5

"CosBi · Day 1 · Week 1 · Jampa · Deload";"2024-09-16 15:58 h";"51 min"
"1. Chest-Supported Low Rows with Neutral Grip · Machine · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;50;15
"2. Lat Pulldowns with Wide Overhand Grip · Cable · 12 reps";"Presumindo que cada bolacha são 5kg. 10 depas"
#;KG;REPS
1;50;12
2;55;10
3;50;12
"3. Incline Reverse Flys · Dumbbells · 12 reps"
#;KG;REPS
1;8;12
2;8;12
3;8;12
"4. Pullovers · Cable · 12 reps";"Senti um pouco na costela do lado direito. Estranho. Melhorei o bracing e senti que ajudou"
#;KG;REPS
1;45;12
2;45;12
3;45;12
"5. Curls · Dumbbells · 12 reps"
#;KG;REPS
1;10;12
2;10;13
3;10;12

"PerGlu · Standalone workout · Deload";"2024-09-12 15:15 h";"59 min"
"1. Leg Press · Machine · 12 reps";"Bluefit Jampa. Leg horizontal"
#;KG;REPS
1;110;12
2;125;12
3;132,5;10
"2. Calf Raises on Leg Press · Machine · 10 reps";"Bluefit Jampa. Leg horizontal"
#;KG;REPS
1;80;12
2;95;12
3;102,5;11
"3. Lying Leg Curls · Machine · 12 reps"
#;KG;REPS
1;35;12
2;40;12
3;40;12
"4. Leg Extensions · Machine · 12 reps";"Bluefit Jampa"
#;KG;REPS
1;55;12
2;55;12
3;60;15
"5. Seated Leg Curls · Machine · 12 reps";"Bluefit Jampa"
#;KG;REPS
1;29;12
2;29;12
3;36;11

"Standalone workout · Standalone workout · Deload";"2024-09-09 16:27 h";"41 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;9
2;+0;6
3;+0;5
4;+0;4
"2. Dips · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;7
3;+0;4

"Day 1 · Day 1 · Week 1 · Pique 1-2-3 · Deload";"2024-09-03 16:52 h";"21 min"
"1. Pull-Ups with Close Neutral Grip · Bodyweight · 10 reps"
#;KG;REPS
1;+0;10
2;+0;6
3;+0;5
"2. Push-Ups · Bodyweight · 10 reps"
#;REPS
1;20
2;12
3;10
