
"3. Bench Dips · Bodyweight";"4 sets";"10 reps"
"4. Incline Archer Push-Ups · Bodyweight";"4 sets";"10 reps"
"5. Elevated Pike hold · Bodyweight";"4 sets"
"6. Chair Crunches · Bodyweight";"4 sets";"10 reps"
"Day 3 · AbLom"
"1. Double Crunch Machine · Machine";"4 sets";"10 reps"
"2. Hyperextensions on Roman Chair · Bodyweight";"4 sets";"10 reps"
"3. Hanging Leg Raises · Bodyweight";"4 sets";"10 reps"
"4. Chair Crunches · Bodyweight";"4 sets";"10 reps"
"5. Plank · Bodyweight";"4 sets"
"6. Side Plank · Bodyweight";"4 sets"
"Day 4 · PerGlu"
"1. Pistol Squats · TRX";"4 sets";"10 reps"
"2. Bulgarian Split Squats · Dumbbells";"4 sets";"10 reps"
"3. Single leg deadlift · Bodyweight";"4 sets";"10 reps"
"4. Side Split Squats · Dumbbells";"4 sets";"10 reps"
"5. Standing Calf Raises · Bodyweight";"4 sets";"10 reps"
"6. Single Leg Hip Thrust · Bodyweight";"4 sets";"10 reps"

"Breno · 5 weeks";2024-04-07
"Day 1 · PeiTriOm"
"1. Incline Bench Press · Barbell";"3 sets";"15 reps"
"2. Flys · Cable";"3 sets";"15 reps"
"3. Chest Press · Machine";"9 sets";"20 reps"
"4. Skull Crushers · Cable";"9 sets";"20 reps"
"5. Triceps Pushdowns with Rope · Cable";"3 sets";"2 dropsets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"7. Front Raises · Cable";"3 sets";"12 reps"
"Day 2 · CosBi"
"1. Lat Pulldowns with Wide Overhand Grip · Cable";"9 sets";"16 reps"
"2. Incline Rows · Dumbbells";"3 sets";"15 reps"
"3. Rows with Wide Neutral Grip · Cable";"3 sets";"15 reps"
"4. Pullovers · Cable";"9 sets";"16 reps"
"5. Curls · Cable";"9 sets";"10 reps"
"6. Seated Curls · Dumbbells";"3 sets";"12 reps"
"Day 3 · PerGlu"
"1. Leg Extensions · Machine";"9 sets";"10 reps"
"2. Leg Press · Machine";"3 sets";"12 reps"
"3. Hip Abduction · Cable";"3 sets";"15 reps"
"4. Seated Leg Curls · Machine";"9 sets";"10 reps"
"5. Hip Thrusts · Dumbbells";"3 sets";"12 reps"
"6. Seated Calf Raises · Machine";"3 sets";"16 reps"
"Day 4 · AbLom"
"1. Double Crunch Machine · Machine";"3 sets";"10 reps"
"2. Back Extensions on Roman Chair · Bodyweight";"3 sets";"10 reps"
"3. Plank · Bodyweight";"3 sets"
"4. Side Plank · Bodyweight";"3 sets"
"5. Skydiver · Bodyweight";"3 sets";"10 reps"
"6. Chair Crunches · Bodyweight";"3 sets";"10 reps"

"Mais novo · 5 weeks";2024-04-01
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"5. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"12 reps"
"Day 2 · Costas Bíceps"
"1. Lat Pulldowns with Close Neutral Grip · Cable";"3 sets";"12 reps"
"2. Rows with Reverse Grip · Cable";"3 sets";"12 reps"
"3. One-Arm Rows · Dumbbells";"3 sets";"12 reps"
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Curls · Barbell";"3 sets";"12 reps"
"6. Incline Reverse Flys · Dumbbells";"3 sets";"12 reps"
"7. Seated Curls · Dumbbells";"3 sets";"12 reps"
"Day 3 · Perna"
"1. Leg Press · Machine";"3 sets";"10 reps"
"2. Seated Calf Raises · Machine";"3 sets";"12 reps"
"3. Seated Leg Curls · Machine";"3 sets";"12 reps"
"4. Hip Adduction · Cable";"3 sets";"12 reps"
"5. Hip Abduction · Cable";"3 sets";"12 reps"
"6. Leg Extensions · Machine";"3 sets";"10 reps"
"7. Leg Curls on Leg Extension Machine · Machine";"3 sets";"10 reps"
"Day 4 · Abdominal"
"1. Double Crunch Machine · Machine";"3 sets";"12 reps"
"2. Back Extensions on Roman Chair · Bodyweight";"3 sets";"12 reps"
"3. Side Bends on Roman Chair · Bodyweight";"2 sets";"12 reps"
"4. Dragon Flag · Bodyweight";"3 sets";"12 reps"
"5. Plank · Bodyweight";"3 sets"
"6. Skydiver - Iso · Bodyweight";"3 sets"

"Alternativo · 3 weeks";2024-02-19
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Dumbbells";"3 sets";"12 reps"
"2. Incline Bench Press · Dumbbells";"3 sets";"12 reps"
"3. Seated Shoulder Press · Dumbbells";"3 sets";"12 reps"
"4. Flys · Dumbbells";"3 sets";"12 reps"
"5. Triceps Kickbacks · Dumbbells";"3 sets";"12 reps"
"6. Lateral Raises · Cable";"3 sets";"12 reps"
"7. Skull Crushers · EZ bar";"3 sets";"12 reps"
"8. Burpees · Bodyweight";"3 sets"
"Day 2 · Costas Bíceps"
"1. Pull-Ups with Close Neutral Grip · Bodyweight";"3 sets";"12 reps"
"2. Rows with Reverse Grip · Cable";"3 sets";"12 reps"
"3. Chest-Supported Rows with Wide Grip · Machine";"3 sets";"12 reps"
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Preacher Curls · Machine";"3 sets";"12 reps"
"6. Incline Reverse Flys · Dumbbells";"3 sets";"12 reps"
"7. Seated Curls · Dumbbells";"3 sets";"12 reps"
"8. Russian Swings · Kettlebells";"3 sets";"10 reps"
"Day 3 · Perna abs"
"1. Calf Raises on Leg Press · Machine";"3 sets";"12 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
"3. Hip Adduction · Cable";"3 sets";"12 reps"
"4. Hip Abduction · Cable";"3 sets";"12 reps"
"5. Crunch Machine · Machine";"3 sets";"12 reps"
"6. Plank · Bodyweight";"3 sets";"1:15 min"
"7. Hanging Leg Raises · Bodyweight";"3 sets";"10 reps"
"8. Back Extensions on Roman Chair · Bodyweight";"3 sets";"10 reps"

"Novo · 5 weeks";2024-02-14
"Day 1 · Peito Ombro Triceps"
"1. Bench Press · Barbell";"3 sets";"12 reps"
"2. Incline Bench Press · Barbell";"3 sets";"12 reps"
"3. Seated Shoulder Press · Barbell";"3 sets";"12 reps"
"4. Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"5. Triceps Pushdowns · Cable";"3 sets";"12 reps"
"6. Seated Lateral Raises · Dumbbells";"3 sets";"12 reps"
"7. Triceps Pushdowns with Rope · Cable";"3 sets";"12 reps"
"Day 2 · Costas Bíceps"
"1. Lat Pulldowns with Close Neutral Grip · Cable";"3 sets";"12 reps"
"2. Rows with Reverse Grip · Cable";"3 sets";"12 reps"
"3. Chest-Supported Rows with Wide Grip · Machine";"3 sets";"12 reps"
"4. Pullovers · Cable";"3 sets";"12 reps"
"5. Curls · Barbell";"3 sets";"12 reps"
"6. Reverse Butterfly with Wide Grip · Machine";"3 sets";"12 reps"
"7. Seated Curls · Dumbbells";"3 sets";"12 reps"
"Day 3 · Perna abs"
"1. Calf Raises on Leg Press · Machine";"3 sets";"12 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"12 reps"
